date,song,artist,rank,weekly_videos,image_url
2022-06-26,Jiggle Jiggle,Duke & Jones & Louis Theroux,5,369K,https://tokchart.com/img/7075729123557100294/600
2022-06-26,Glimpse of Us,Joji,6,289K,https://tokchart.com/img/7106918814847076353/600
2022-06-26,Aesthetic,Tollan Kim,7,284K,https://tokchart.com/img/7072513628145977346/600
2022-06-26,Woah (feat. D3Mstreet),KRYPTO9095,8,245K,https://tokchart.com/img/6691366574592396038/600
2022-06-26,Jadon Tusi Hass de Ho_3,Shehnaz Akhtar (Akhtar Brothers ),9,228K,https://tokchart.com/img/6823137965598869506/600
2022-06-26,Funny Song,Funny Song Studio & Sounds Reel,10,223K,https://tokchart.com/img/6732536571318257666/600
2022-07-03,Cumbia Buena,Grupo La Cumbia,1,1M,https://tokchart.com/img/6802349518965704705/600
2022-07-03,"1, 2, 3 (feat. Jason Derulo & De La Ghetto) [Sped Up Version]",Sofia Reyes,2,1M,https://tokchart.com/img/7093791030025243394/600
2022-07-03,Love You So,The King Khan & BBQ Show,3,594K,https://tokchart.com/img/6728562975734515713/600
2022-07-03,Ma Boy,(J)Ⓜ️’s,4,363K,https://tokchart.com/img/6848553007185988354/600
2022-07-03,PELUK CIUM,༘⋆🌷🫧💭₊˚ෆ,5,331K,https://tokchart.com/img/6846792174881852161/600
2022-07-03,ชอบเธออะ (ท่อนละลาย),Ptrp Studio,6,310K,https://tokchart.com/img/7088288000794200859/600
2022-07-03,Running Up That Hill (A Deal With God),Kate Bush,7,280K,https://tokchart.com/img/235918692176371712/600
2022-07-03,Aesthetic,Tollan Kim,8,261K,https://tokchart.com/img/7072513628145977346/600
2022-07-03,Jiggle Jiggle,Duke & Jones & Louis Theroux,9,232K,https://tokchart.com/img/7075729123557100294/600
2022-07-03,Andrea,Bad Bunny & Buscabulla,10,216K,https://tokchart.com/img/7096537919191747374/600
2022-07-10,Cumbia Buena,Grupo La Cumbia,1,626K,https://tokchart.com/img/6802349518965704705/600
2022-07-10,"1, 2, 3 (feat. Jason Derulo & De La Ghetto) [Sped Up Version]",Sofia Reyes,2,379K,https://tokchart.com/img/7093791030025243394/600
2022-07-10,Love You So,The King Khan & BBQ Show,3,358K,https://tokchart.com/img/6728562975734515713/600
2022-07-10,ชอบเธออะ (ท่อนละลาย),Ptrp Studio,4,341K,https://tokchart.com/img/7088288000794200859/600
2022-07-10,Aesthetic,Tollan Kim,5,203K,https://tokchart.com/img/7072513628145977346/600
2022-07-10,PELUK CIUM,༘⋆🌷🫧💭₊˚ෆ,6,154K,https://tokchart.com/img/6846792174881852161/600
2022-07-10,Running Up That Hill (A Deal With God),Kate Bush,7,143K,https://tokchart.com/img/235918692176371712/600
2022-07-10,original sound - lanadoll_07,𝘓 𝘢 𝘻 𝘢 𝘯 𝘢,8,103K,https://tokchart.com/img/6550464957396292608/600
2022-07-10,Buga (Lo Lo Lo),Kizz Daniel,9,97K,https://tokchart.com/img/7093949567481285381/600
2022-07-10,Funny Song,Funny Song Studio & Sounds Reel,10,96K,https://tokchart.com/img/6732536571318257666/600
2022-08-07,L$d,Luclover,1,934K,https://tokchart.com/img/7085791307943954433/600
2022-08-07,Carrying Your Love,David Morris,2,673K,https://tokchart.com/img/7099193160047265793/600
2022-08-07,Left And Right (Speed Up),jjqrks,3,602K,https://tokchart.com/img/7113182296387570434/600
2022-08-07,Love You So,The King Khan & BBQ Show,4,288K,https://tokchart.com/img/6728562975734515713/600
2022-08-07,Na Rebolada,Os Quebradeiras & DJ Zullu & Machadez & Mousik & Thamirys,5,270K,https://tokchart.com/img/7120706545079487237/600
2022-08-07,Rich Minion,Yeat,6,245K,https://tokchart.com/img/7109284473828591617/600
2022-08-07,Beat Automotivo Tan Tan Tan Viral,WZ Beat,7,210K,https://tokchart.com/img/7098939394085702406/600
2022-08-07,Funny Song,Funny Song Studio & Sounds Reel,8,185K,https://tokchart.com/img/6732536571318257666/600
2022-08-07,毒きのこの曲 feat.ゆづっこ,0am,9,168K,https://tokchart.com/img/7047445550383893249/600
2022-08-07,So High,Delus & Konshens & Irievibrations,10,166K,https://tokchart.com/img/6710456941459539970/600
2022-08-14,L$d,Luclover,1,759K,https://tokchart.com/img/7085791307943954433/600
2022-08-14,Carrying Your Love,David Morris,2,502K,https://tokchart.com/img/7099193160047265793/600
2022-08-14,Left And Right (Speed Up),jjqrks,3,466K,https://tokchart.com/img/7113182296387570434/600
2022-08-14,Love You So,The King Khan & BBQ Show,4,339K,https://tokchart.com/img/6728562975734515713/600
2022-08-14,Pakistan Zindabad,Aayat Arif,5,335K,https://tokchart.com/img/6859414149277976578/600
2022-08-14,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,6,263K,https://tokchart.com/img/7116937238335719425/600
2022-08-14,Na Rebolada,Os Quebradeiras & DJ Zullu & Machadez & Mousik & Thamirys,7,244K,https://tokchart.com/img/7120706545079487237/600
2022-08-14,DESPECHÁ,ROSALÍA,8,243K,https://tokchart.com/img/7119554621501688582/600
2022-08-14,Funny Song,Funny Song Studio & Sounds Reel,9,198K,https://tokchart.com/img/6732536571318257666/600
2022-08-14,Paro - Speed Up,Nej,10,183K,https://tokchart.com/img/7106914366477323014/600
2022-08-21,Pakistan Zindabad,Aayat Arif,1,443K,https://tokchart.com/img/6859414149277976578/600
2022-08-21,Love You So,The King Khan & BBQ Show,2,347K,https://tokchart.com/img/6728562975734515713/600
